,game_date,pts
90999,2012-01-24,111
91044,2012-01-25,81
91089,2012-01-27,89
91092,2012-01-28,84
91228,2012-02-03,89
91346,2012-02-08,107
91418,2012-02-11,100
91477,2012-02-14,90
91703,2012-02-23,88
91843,2012-03-04,111
91887,2012-03-06,85
91923,2012-03-07,105
91956,2012-03-09,114
92019,2012-03-12,99
92143,2012-03-17,102
92243,2012-03-21,82
92270,2012-03-23,79
92464,2012-03-30,90
92554,2012-04-03,104
92599,2012-04-05,96
92725,2012-04-10,86
92755,2012-04-11,111
92932,2012-04-18,104
92998,2012-04-22,113
93094,2012-04-26,104
93240,2012-11-05,110
93414,2012-11-13,99
93456,2012-11-15,104
93477,2012-11-16,95
93562,2012-11-20,102
93600,2012-11-21,111
93618,2012-11-23,103
93685,2012-11-26,89
93733,2012-11-28,102
93862,2012-12-05,100
93891,2012-12-06,112
93936,2012-12-08,85
93992,2012-12-11,100
94273,2012-12-25,94
94306,2012-12-26,99
94342,2012-12-28,105
94531,2013-01-05,114
94630,2013-01-10,76
94787,2013-01-17,102
94931,2013-01-24,89
94984,2013-01-26,80
95230,2013-02-06,96
95257,2013-02-08,100
95473,2013-02-22,98
95644,2013-03-01,96
95704,2013-03-04,102
95755,2013-03-06,87
95854,2013-03-11,63
95884,2013-03-13,94
95917,2013-03-14,90
95986,2013-03-17,80
96010,2013-03-18,90
96106,2013-03-22,99
96172,2013-03-26,100
96337,2013-04-02,102
96358,2013-04-03,95
96448,2013-04-07,125
96526,2013-04-11,111
96553,2013-04-12,101
96613,2013-04-15,95
96744,2013-10-31,81
96933,2013-11-08,101
97022,2013-11-13,95
97147,2013-11-19,86
97244,2013-11-23,89
97288,2013-11-25,91
97323,2013-11-27,80
97362,2013-11-29,95
97486,2013-12-05,113
97598,2013-12-10,94
97663,2013-12-13,86
97776,2013-12-18,107
97940,2013-12-28,100
98041,2014-01-02,105
98055,2014-01-03,100
98109,2014-01-05,92
98281,2014-01-14,98
98326,2014-01-16,89
98702,2014-02-03,98
98838,2014-02-09,100
98943,2014-02-18,93
98988,2014-02-19,98
